app_id,tag
15000,Shooter
15000,Tactical
15080,Action
15080,Adventure
15080,Arcade
15100,Action
15100,Action-Adventure
15100,Adventure
15100,RPG
15100,Sandbox
15100,Stealth
15120,Action
15120,Adventure
15120,FPS
15120,Shooter
15120,Stealth
15120,Strategy
15120,Tactical
15120,Third-Person Shooter
15130,Action
15130,Action-Adventure
15130,Adventure
15130,Dystopian
15130,Platformer
15130,Stealth
15160,Simulation
15170,Adventure
15170,Base Building
15170,RPG
15170,Strategy
15170,Tactical
15170,Turn-Based
15170,Turn-Based Strategy
15190,Action
15190,FPS
15190,Shooter
15190,Strategy
15190,Tactical
15200,Naval Combat
15200,Simulation
15210,Action
15210,Naval Combat
15210,Simulation
15210,Strategy
15240,Naval Combat
